Air Conditioner, IconTemperatureSnow
Heater, IconTemperatureSun

Basic Pantry, IconBrandSentry
Microwave, IconMicrowave
Fridge, IconFridge
BBQ, IconGrill
Kitchen Tools, IconToolsKitchen2
Cookery, IconBowlSpoon
Coffee Machine, IconCoffee

Camping table, IconPicnicTable
Camping Chair, IconChairDirector
Wood, IconCampfire
Ski-Stand, IconSkiJumping
Bike Rack, IconBike

In-Built Navigation, IconGps
Charging Station, IconDeviceMobileCharging
Wifi, IconWifi
TV, IconDeviceTv
Radio, IconRadio
Speaker, IconDeviceSpeaker

Cruise Control, IconSteeringWheel
Wheelchair Access, IconWheelchair
Parking Sensor, IconParking
Solar Panel, IconSunElectricity

