suburb,postcode,state,state_name,lat,lng
Duval,2350,NSW,New South Wales,-30.41398,151.63446
Carrai,2440,NSW,New South Wales,-30.82848,152.24865
Goat Island,2477,NSW,New South Wales,-28.98862,153.45729
Pimlico Island,2478,NSW,New South Wales,-28.91774,153.49456
Mungo,2715,NSW,New South Wales,-33.75375,143.08284
Curragh,2795,NSW,New South Wales,-33.95091,149.20604
Wonboyn North,2551,NSW,New South Wales,-37.19869,149.90497
Mumbulla Mountain,2550,NSW,New South Wales,-36.53343,149.88866
Green Cape,2551,NSW,New South Wales,-37.21212,150.00351
Edrom,2551,NSW,New South Wales,-37.13357,149.95858
Nungatta,2551,NSW,New South Wales,-37.20577,149.41354
Nungatta South,2551,NSW,New South Wales,-37.27892,149.45293
Yankees Creek,2550,NSW,New South Wales,-36.48819,149.54501
Coolangubra,2550,NSW,New South Wales,-37.00389,149.4556
Wadbilliga,2546,NSW,New South Wales,-36.24983,149.62322
Nadgee,2551,NSW,New South Wales,-37.3682,149.84324
Wog Wog,2550,NSW,New South Wales,-37.07439,149.45165
Never Never,2453,NSW,New South Wales,-30.35723,152.82993
Brinerville,2454,NSW,New South Wales,-30.47236,152.50813
Babinda,2825,NSW,New South Wales,-31.92247,146.52159
Gunningrah,2632,NSW,New South Wales,-36.74408,149.15904
Mount Cooper,2631,NSW,New South Wales,-36.65367,149.20122
Bondi Forest,2632,NSW,New South Wales,-37.15203,149.19066
Bukalong,2632,NSW,New South Wales,-36.79952,149.20878
Cambalong,2632,NSW,New South Wales,-36.89966,149.11
Paddys Flat,2632,NSW,New South Wales,-37.03632,149.32845
Byadbo Wilderness,2628,NSW,New South Wales,-36.8264,148.62016
Narran Lake,2839,NSW,New South Wales,-29.81695,147.31655
Cadia,2800,NSW,New South Wales,-33.44302,149.00978
Six Mile Swamp,2469,NSW,New South Wales,-29.18778,152.85871
Esk,2472,NSW,New South Wales,-29.25558,153.33178
The Gap,2472,NSW,New South Wales,-29.18207,153.40831
Yengo National Park,2330,NSW,New South Wales,-33.01902,150.91338
Olney,2325,NSW,New South Wales,-33.03749,151.32008
The Sandon,2463,NSW,New South Wales,-29.66652,153.29733
Barcoongere,2460,NSW,New South Wales,-29.8893,153.2608
Bookram,2460,NSW,New South Wales,-29.71867,153.24471
Freeburn Island,2464,NSW,New South Wales,-29.40154,153.33215
Yuraygir,2464,NSW,New South Wales,-29.53089,153.32996
Woody Head,2466,NSW,New South Wales,-29.36441,153.36788
Crowther Island,2460,NSW,New South Wales,-29.62704,152.9188
Chaelundi,2460,NSW,New South Wales,-29.98343,152.42977
Wild Cattle Creek,2453,NSW,New South Wales,-30.1312,152.74593
Towallum,2460,NSW,New South Wales,-30.07711,152.83141
Pikapene,2469,NSW,New South Wales,-29.04791,152.65731
Washpool,2460,NSW,New South Wales,-29.29162,152.3783
Collum Collum,2460,NSW,New South Wales,-29.26204,152.47766
Dumbudgery,2460,NSW,New South Wales,-29.29921,152.52093
Four Corners,2716,NSW,New South Wales,-34.81213,145.42709
Tantangara,2629,NSW,New South Wales,-35.72229,148.65517
Deua,2537,NSW,New South Wales,-35.92784,149.8148
Murrengenburg,2622,NSW,New South Wales,-35.53823,149.99667
Gibraltar Range,2370,NSW,New South Wales,-29.54069,152.26615
Moogem,2370,NSW,New South Wales,-29.45859,152.24678
Morven,2370,NSW,New South Wales,-29.41917,152.164
Giro,2422,NSW,New South Wales,-31.68102,151.74556
Mares Run,2422,NSW,New South Wales,-31.64302,151.80067
Baxters Ridge,2422,NSW,New South Wales,-31.7131,151.90409
Mernot,2422,NSW,New South Wales,-31.6865,151.57679
Barrington Tops,2422,NSW,New South Wales,-31.96215,151.52978
Tiri,2424,NSW,New South Wales,-31.8493,152.08936
Cells River,2424,NSW,New South Wales,-31.59481,152.07375
Knorrit Forest,2424,NSW,New South Wales,-31.78475,152.13377
Dingo Forest,2429,NSW,New South Wales,-31.69782,152.145
Kiwarrak,2430,NSW,New South Wales,-31.99367,152.45178
